220.0, {'J10': np.float32(-0.10175763), 'J11': np.float32(0.21461609), 'J12': np.float32(-1.0083256), 'J13': np.float32(0.047178537), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(0.09250694)}, {'J10': 5, 'J11': 0, 'J12': 12, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 5}, {'J10': 5, 'J11': 0, 'J12': 54, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, 
225.0, {'J10': np.float32(-0.10175763), 'J11': np.float32(-0.012025902), 'J12': np.float32(-1.0425532), 'J13': np.float32(-0.022201665), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(0.071230344)}, {'J10': 5, 'J11': 1, 'J12': 12, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 5, 'J11': 2, 'J12': 54, 'J13': 0, 'cluster3106249630_3106249631_J60_J61_#5more': 8}, 
230.0, {'J10': np.float32(-0.10175763), 'J11': np.float32(-0.04255319), 'J12': np.float32(-1.0453284), 'J13': np.float32(0.002775208), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.0573543)}, {'J10': 5, 'J11': 2, 'J12': 12, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 5, 'J11': 3, 'J12': 54, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 10}, 
235.0, {'J10': np.float32(-0.10175763), 'J11': np.float32(-0.091581866), 'J12': np.float32(-1.0545791), 'J13': np.float32(-0.07215541), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.23681776)}, {'J10': 5, 'J11': 2, 'J12': 12, 'J13': 2, 'cluster3106249630_3106249631_J60_J61_#5more': 4}, {'J10': 5, 'J11': 4, 'J12': 56, 'J13': 3, 'cluster3106249630_3106249631_J60_J61_#5more': 18}, 
240.0, {'J10': np.float32(-0.116558746), 'J11': np.float32(0.1026827), 'J12': np.float32(-1.0980574), 'J13': np.float32(-0.07030527), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.19241443)}, {'J10': 5, 'J11': 1, 'J12': 12, 'J13': 4, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, {'J10': 6, 'J11': 1, 'J12': 58, 'J13': 6, 'cluster3106249630_3106249631_J60_J61_#5more': 25}, 
245.0, {'J10': np.float32(-0.12950972), 'J11': np.float32(0.03422757), 'J12': np.float32(-1.0481036), 'J13': np.float32(-0.12673451), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.22756706)}, {'J10': 5, 'J11': 1, 'J12': 12, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 7}, {'J10': 6, 'J11': 1, 'J12': 56, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 26}, 
250.0, {'J10': np.float32(1.0712303), 'J11': np.float32(-0.055504162), 'J12': np.float32(-1.0860314), 'J13': np.float32(-0.1387604), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.25254393)}, {'J10': 3, 'J11': 2, 'J12': 12, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 9}, {'J10': 4, 'J11': 3, 'J12': 57, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 28}, 
255.0, {'J10': np.float32(-0.050878815), 'J11': np.float32(-0.10453284), 'J12': np.float32(0.20721555), 'J13': np.float32(-0.1387604), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.5439408)}, {'J10': 3, 'J11': 2, 'J12': 12, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, {'J10': 3, 'J11': 3, 'J12': 58, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 32}, 
260.0, {'J10': np.float32(-0.055504162), 'J11': np.float32(0.1692877), 'J12': np.float32(-1.0703052), 'J13': np.float32(-0.1387604), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(0.27104533)}, {'J10': 3, 'J11': 0, 'J12': 12, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 14}, {'J10': 3, 'J11': 0, 'J12': 58, 'J13': 7, 'cluster3106249630_3106249631_J60_J61_#5more': 31}, 
265.0, {'J10': np.float32(-0.06105458), 'J11': np.float32(-0.0009250694), 'J12': np.float32(-1.0296022), 'J13': np.float32(-0.14616096), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(0.23774283)}, {'J10': 3, 'J11': 0, 'J12': 12, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 14}, {'J10': 4, 'J11': 0, 'J12': 56, 'J13': 8, 'cluster3106249630_3106249631_J60_J61_#5more': 25}, 
270.0, {'J10': np.float32(-0.07400555), 'J11': np.float32(0.0009250694), 'J12': np.float32(-0.8455134), 'J13': np.float32(-0.15726179), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(0.20166512)}, {'J10': 3, 'J11': 0, 'J12': 12, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, {'J10': 4, 'J11': 0, 'J12': 54, 'J13': 8, 'cluster3106249630_3106249631_J60_J61_#5more': 18}, 
275.0, {'J10': np.float32(-0.07400555), 'J11': np.float32(-0.012950972), 'J12': np.float32(-1.0499537), 'J13': np.float32(-0.15726179), 'cluster3106249630_3106249631_J60_J61_#5more': np.float32(-0.37280297)}, {'J10': 3, 'J11': 2, 'J12': 12, 'J13': 5, 'cluster3106249630_3106249631_J60_J61_#5more': 12}, {'J10': 4, 'J11': 3, 'J12': 56, 'J13': 8, 'cluster3106249630_3106249631_J60_J61_#5more': 22}, 
