jammed_count,start_edge,end_edge,num_edges,example_id,edges
25,135506981,266942153#1,15,bike0_5213,135506981 86440008#7 1075746755#0 -162053484#1 -576383494 -1694123#2 218228183#0 27203880#1 776860860 1082164221 -45394567#3 -1081679668#0 -266942153#3 -266942153#1 266942153#1
24,-4234184#0,-1297403296#0,10,bike0_162,-4234184#0 -1355686483 -47739048 -746422997 1356284885 27203877#0 27203880#1 776860860 1082164221 -1297403296#0
24,45394567#2,243391207,16,bike0_351,45394567#2 1297403290#1 -776860860 576383502 27203882#0 164695754#1 218228185 27203876#0 27203876#1 -186130434 186130430#5 -337076356#0 243393164#1 -186130430#1 -243391207 243391207
24,-266942153#1,-1694123#2,14,bike0_487,-266942153#1 266942153#1 266942153#3 1081679668#0 45394567#2 1297403290#1 -776860860 576383502 27203882#0 218228181#1 746422997 746422998 -576383494 -1694123#2
24,266942153#1,-1150386957#3,17,bike0_859,266942153#1 266942153#3 1081679668#1.6 1081679668#2 -E20 27199045#1 27199045#2 364393929#0 364393929#1 300626108#2 300626108#3 300626108#4 162834890 363511226#2 E29 -1150386957#4 -1150386957#3
24,788234433#2,-161663922#0,9,bike0_10793,788234433#2 -1931863#2 -1931863#1 30476997#3 E27 -161663922#3 -161663922#2 -161663922#1 -161663922#0
23,1911242#3,-1297403296#0,15,bike0_233,1911242#3 1911242#4 624807901 -237100949#2 -237100949#1 -237100949#0 -1355686483 -47739048 -746422997 1356284885 27203877#0 27203880#1 776860860 1082164221 -1297403296#0
23,-178699979#1,86440008#3,6,bike0_562,-178699979#1 128007875#2 86440008#0 86440008#1 86440008#2 86440008#3
23,234470016#0,-169212935#1,6,bike0_1810,234470016#0 234577460#1 169212935#1 169212935#2 -169212935#2 -169212935#1
23,1987378#2,-1718351#4,12,bike0_6060,1987378#2 1987378#3 -27203876#4 -27203876#3 -27203876#2 -27203876#1 -27203876#0 576383498 27203875#0 218228183#0 164695753#1 -1718351#4
22,-76815388#1.2,86370286#0,3,bike0_14,-76815388#1.2 209692778#1 86370286#0
22,-305430250#4.1,-209692779#4,12,bike0_28,-305430250#4.1 -305430250#2 -1072940286#1 1911242#1 1911242#2 1911242#3 1911242#4 36523272#3 -76815388#1.2 -209692779#8 -209692779#5 -209692779#4
22,-27432851#2,-27226010#2,22,bike0_549,-27432851#2 -162093000#2 -1356284791 -1081381424 1081381423#0 1297403290#1 -776860860 576383502 27203882#0 164695753#1 -1718351#4 -1718351#3 -1718351#2 -1718351#1 -1718351#0 596202509 1323685822 1323685812.0 596202508#2 1323685816 -27226010#3 -27226010#2
22,-161663922#5,E1,7,bike0_1091,-161663922#5 -161663922#4 -E27 30476997#4 1356443855#0 1356542862#0 E1
22,-1033304018#1,-237225105#2,12,bike0_1700,-1033304018#1 -1033304018#0 683542716#4 23803802#2 23803802#3 1355324262 1355324261#0 1355324272 1355324272.32 742322419#0 241934522 -237225105#2
22,27294501,1075746753#0,5,bike0_2268,27294501 -417570102#2 1355686495 1075746754#0 1075746753#0
22,164695753#1,-417570102#2,7,bike0_6280,164695753#1 -1069621301#0 E33 -1018612470#2 -1018612470#1 -1018612470#0 -417570102#2
22,27201302#1.254,-749143806#3,12,bike0_11115,27201302#1.254 497264733 1356542864 497264730#0 24823745#1 1356542863 161663922#0 161663922#1 161663922#2 161663922#3 161663922#4 -749143806#3
22,1911240#3.32,-1911240#6,7,bike0_15823,1911240#3.32 1911240#4 1911240#5 1911240#6 -266942151 27199045#2 -1911240#6
21,27290020#0,27203880#1,6,bike0_5819,27290020#0 -8123645#1 1718351#4 1356284884 27280403#0 27203880#1
20,-746422997,-186130430#4,9,bike0_111,-746422997 1356284885 27203877#0 164695754#1 218228185 27203876#0 27203876#1 -186130434 -186130430#4
20,150896098,1323685820#0,15,bike0_216,150896098 1906291#9 1906291#10 237111847#0 237111847#2 1323685801#0 1323685799#1 1323685799#1.16 571034829 1323685800 1323685809 496990639#0 537400024#1 1323685812.0 1323685820#0
20,86433474#2,27201303#2,11,bike0_265,86433474#2 497252837#0 497252836#0 262676813#0 262676813#2 262676813#2.76 420039032 27201304#1 1067190735#0 E2 27201303#2
20,-178699979#1,E1,13,bike0_421,-178699979#1 -128007875#0 128007876#2 1248122870#1 E16 E16.174 262676813#0 262676813#2 262676813#2.76 420039032 27201304#1 1067190735#0 E1
20,936489858#0.27,237111847#2,5,bike0_1044,936489858#0.27 936489858#1 936489858#2 237111847#0 237111847#2
20,1356443855#0,-27226010#2,33,bike0_1534,1356443855#0 1356542862#0 420044917#1 1018614217#0 1018614217#1 1018614217#1.62 497264736 497264736.104 27201305#3 497259157#2.19 -86433474#2 -86433474#0 -27203876#4 -27203876#3 -27203876#2 -27203876#1 -27203876#0 576383498 27203875#0 218228183#0 164695753#1 -1718351#4 -1718351#3 -1718351#2 -1718351#1 -1718351#0 596202509 1323685822 1323685812.0 596202508#2 1323685816 -27226010#3 -27226010#2
20,1150386957#30,502186116#3,12,bike0_2811,1150386957#30 1150386957#4 -E29 1323685795#1 451935263 127497088#0 1906290#0 1906290#1 1881093#0 1881093#1 502186116#1 502186116#3
19,1248122869#1,27432851#0,27,bike0_171,1248122869#1 1248122869#2 1163086345#0 1124217846#1 497264742#1 128007875#0 128007875#2 86440008#0 86440008#1 86440008#2 86440008#3 86440008#4 86440008#5 86440008#7 1075746755#0 -162053484#1 -576383494 -1694123#2 218228183#0 27203880#1 776860860 1082164221 36244295#1 1081381424 1356284791 162093000#0 27432851#0
19,1018612468#1,E41,20,bike0_283,1018612468#1 144226567#0 -144226567#0 -1018612468#1 -171268308#1 -171268308#0 596202509 1323685822 1323685812.0 596202508#2 742302330#1 127496109#0 127496109#1 1323685808#0 1355324272 1355324272.32 742322419#0 654821491#1 742322425#0 E41
19,E33,209692779#5,8,bike0_381,E33 27294502#1 746422998 162053484#0 209692779#1 209692779#3 209692779#4 209692779#5
19,1150386957#30,27199045#2,14,bike0_697,1150386957#30 1150386957#4 -E29 -363511227#0 -897170430#0.7 1323685793.43 -162834890 -300626108#4 -300626108#3 -300626108#2 -364393929#1 -364393929#0 -266942151 27199045#2
19,-165278578#0,-300626108#2,14,bike0_1031,-165278578#0 1096146332#0 -4250845#5 -4250845#2 -4250845#2.169 -162093000#2 -152449891 1911240#4 1911240#5 1911240#6 364393929#0 364393929#1 300626108#2 -300626108#2
19,86440008#7,27432851#0,14,bike0_1402,86440008#7 1075746755#0 -162053484#1 -576383494 -1694123#2 218228183#0 27203880#1 776860860 1082164221 36244295#1 1081381424 1356284791 162093000#0 27432851#0
19,172116647,-777233097,10,bike0_9092,172116647 8123073#3 8123073#4 8123073#5 144381947 266942152#5 27199041#0 27199041#1 45394563#0 -777233097
19,-165278578#0,-1081679668#1,9,bike0_9245,-165278578#0 -1880410#1 -1880410#0 1931864#0 1931864#1 1931866 266942153#3 1081679668#1.6 -1081679668#1
19,-477771141#2,-266942153#3,8,bike0_9450,-477771141#2 -477771141#1 -828766079 1931862 -266942152#0 266942153#1 266942153#3 -266942153#3
19,742322421#0,-77626056,8,bike0_9843,742322421#0 654821491#1 742322425#0 1355324238#1 1355324240#1 1355324239#1 1355324237 -77626056
18,-234571649#0,8121740#0,10,bike0_42,-234571649#0 87325166#0 234577460#1 234577460#2 229881046#0 363647271#2 E16 E16.174 262671719#0 8121740#0
18,44044768#0,-1352158397#2,11,bike0_412,44044768#0 742322421#0 241934521#1 742322416#3 654821494#0 654821494#0.63 1070316627 -1355324262 -571260883 -1352158399 -1352158397#2
18,-144869729#2,3991394#2,14,bike0_6774,-144869729#2 -E41 367476299#0 367471405#0 1329759446#3 654821494#0 654821494#0.63 1070316627 -1355324262 -23803802#3 -23803802#2 -23803802#0 3991394#1 3991394#2
18,E48,-234470016#1,2,bike0_22030,E48 -234470016#1
17,502186116#1,E24,6,bike0_1352,502186116#1 -502186116#1 -502186116#0 162094311 162094596#1 E24
17,-E13,27201306#0,2,bike0_1489,-E13 27201306#0
17,27226010#2,1323685793,8,bike0_1722,27226010#2 27226010#3 742302328#0 E32 654282338#1 654282338#2 654282338#3 1323685793
17,-266942153#3,-954213840,12,bike0_1785,-266942153#3 -1931866 1931864#2 1931864#3 1931864#4 1356284791 162093000#0 4250845#0 104402603 104402603.29 109712078 -954213840
17,-27199040#2,1356542863,7,bike0_2416,-27199040#2 -226599456 420039032 27201304#1 1067190735#0 24823745#1 1356542863
17,300626108#4,171268313#0,5,bike0_2539,300626108#4 162834890 1135313057#0 1135313057#1 171268313#0
17,-128079757,496181694#1,20,bike0_2876,-128079757 128079756#1 128079758 -1929865 -1018612468#2 -1018612468#1 -171268308#1 -171268308#0 596202509 1323685822 1323685812.0 596202508#2 742302330#1 127496109#0 127496109#1 1323685808#0 1355324272 1355324272.32 742322419#0 496181694#1
17,1931863#1,27432851#0,12,bike0_5832,1931863#1 1931863#2 -788234433#2 -788234433#0 1931864#0 1931864#1 1931864#2 1931864#3 1931864#4 1356284791 162093000#0 27432851#0
17,-161663922#5,788234436,15,bike0_6844,-161663922#5 -161663922#4 -E27 172116962 -292931129 E27 161663922#4 161663922#5 161663922#6 161663922#7 161663922#8 161663922#9 1096146332#0 -160100577#1 788234436
17,-1718351#1,1018612470#1,5,bike0_8288,-1718351#1 -1929864 1018612468#6 1018612470#0 1018612470#1
17,234470016#0,-1424171454,9,bike0_11100,234470016#0 E52 E53 E53.25 E53.67 8122261#1 -176710614#2 -176710614#1 -1424171454
16,55008149#5,-86440008#0,16,bike0_1601,55008149#5 1355686488 2063100#0 1355686495 1075746754#0 1075746753#0 1355686472#1 1075746757#0 1075746756#1 -86440008#7 -86440008#5 -86440008#4 -86440008#3 -86440008#2 -86440008#1 -86440008#0
15,E39,-305430250#2,20,bike0_823,E39 742322416#3 654821494#0 654821494#0.63 1355324250 128079756#0 128079756#1 128079756#2 128079759#0 1355686495 1075746754#0 1075746753#0 1355686483 237100949#0 237100949#1 237100949#2 36523272#1 36523272#3 -305430250#4.1 -305430250#2
15,-36523265#2,-160100579#0,19,bike0_2683,-36523265#2 -36523265#1 -36523265#0 -27294504#0 4234182#0 1069621301#0 1356284884 27280403#0 27203880#1 776860860 1082164221 36244295#1 1081381424 1356284791 162093000#0 4250845#0 4250845#4 -160100577#1 -160100579#0
15,-954213839,27432851#0,5,bike0_2892,-954213839 -954213839.14 -4250845#2 -4250845#2.169 27432851#0
14,-23803802#3,-1018612468#1,13,bike0_258,-23803802#3 -1217510944 1217510946 23803802#3 1355324262 1355324261#0 1355324250 128079756#0 128079756#1 128079758 -1929865 -1018612468#2 -1018612468#1
14,-162834890,E24,8,bike0_336,-162834890 162834890 1135313057#0 1135313057#1 171268313#0 162094311 162094596#1 E24
14,-128079758,1355686483,7,bike0_4785,-128079758 128079756#2 128079759#0 1355686495 1075746754#0 1075746753#0 1355686483
14,420039031#0.11,-1911240#3,23,bike0_7245,420039031#0.11 226599456 27199040#2 27199040#3 -27199041#3 -27199041#2 -27199041#1 -27199041#0 -266942152#5 -266942152#4 -266942152#2 -266942152#0 266942153#1 266942153#3 1081679668#1.6 1081679668#2 -E20 27199045#1 27199045#2 -1911240#6 -1911240#5 -1911240#4 -1911240#3
13,27282752#1.93,-86440008#2,23,bike0_92,27282752#1.93 1096146333 -4250845#5 -4250845#2 -4250845#2.169 -162093000#2 -1356284791 -1081381424 1081381423#0 1297403290#1 -776860860 576383502 27203882#0 164695754#1 1694123#0 576383494 162053484#0 1075746756#1 -86440008#7 -86440008#5 -86440008#4 -86440008#3 -86440008#2
13,-278143066#2,86370286#0,7,bike0_2016,-278143066#2 -278143066#1 -278143066#0 209692779#6 209692779#6.58 209692778#1 86370286#0
13,654821494#0.63,144226566#1,11,bike0_2498,654821494#0.63 1355324250 128079756#0 128079756#1 128079756#2 128079759#0 417570102#0 1018612470#0 144226569#0 144226566#0 144226566#1
13,27199041#3,169212597,16,bike0_2901,27199041#3 -27199042 27199040#3 -27199041#3 -27199041#2 45394563#0 -E5 1018614217#1.62 497264736 497264736.104 262671471#2 8121740#0 497264739#0 497262589#1 -169212597 169212597
13,161663922#3,-160100579#0,10,bike0_8440,161663922#3 161663922#4 161663922#5 161663922#6 161663922#7 161663922#8 161663922#9 1096146332#0 -160100577#1 -160100579#0
13,-186130430#4,372586024#3,9,bike0_10164,-186130430#4 -186130428#2 -186130428#1 -186130428#0 23804023#1 186130433#0 186130433#1 372586024#2 372586024#3
12,-186130430#9,86440008#2,10,bike0_220,-186130430#9 -186130430#8 243393164#0 243393164#1 -186130430#1 -243391207 186137308#2 -36874118#2 86440008#1 86440008#2
