290.0, {'J10': -3.0, 'J11': -7592.0, 'J12': -7078.5, 'J13': -7835.0, 'cluster3106249630_3106249631_J60_J61_#5more': -13002.0}, {'J10': 1, 'J11': 14, 'J12': 18, 'J13': 26, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 1, 'J11': 30, 'J12': 42, 'J13': 36, 'cluster3106249630_3106249631_J60_J61_#5more': 70}, 
295.0, {'J10': 0, 'J11': -7892.0, 'J12': -7010.0, 'J13': -8195.0, 'cluster3106249630_3106249631_J60_J61_#5more': -13614.5}, {'J10': 0, 'J11': 14, 'J12': 19, 'J13': 26, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 0, 'J11': 30, 'J12': 41, 'J13': 36, 'cluster3106249630_3106249631_J60_J61_#5more': 70}, 
300.0, {'J10': 0, 'J11': -8192.0, 'J12': -7224.0, 'J13': -8559.5, 'cluster3106249630_3106249631_J60_J61_#5more': -14258.5}, {'J10': 0, 'J11': 14, 'J12': 21, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 0, 'J11': 30, 'J12': 41, 'J13': 38, 'cluster3106249630_3106249631_J60_J61_#5more': 68}, 
305.0, {'J10': 0, 'J11': -8492.0, 'J12': -7090.5, 'J13': -8940.5, 'cluster3106249630_3106249631_J60_J61_#5more': -14927.5}, {'J10': 0, 'J11': 14, 'J12': 21, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 0, 'J11': 30, 'J12': 42, 'J13': 39, 'cluster3106249630_3106249631_J60_J61_#5more': 67}, 
310.0, {'J10': 0, 'J11': -8792.0, 'J12': -6159.0, 'J13': -9330.5, 'cluster3106249630_3106249631_J60_J61_#5more': -15603.0}, {'J10': 0, 'J11': 14, 'J12': 19, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 0, 'J11': 30, 'J12': 40, 'J13': 39, 'cluster3106249630_3106249631_J60_J61_#5more': 70}, 
315.0, {'J10': 0, 'J11': -9092.0, 'J12': -6577.0, 'J13': -9720.5, 'cluster3106249630_3106249631_J60_J61_#5more': -16303.0}, {'J10': 0, 'J11': 14, 'J12': 19, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 0, 'J11': 30, 'J12': 46, 'J13': 39, 'cluster3106249630_3106249631_J60_J61_#5more': 70}, 
320.0, {'J10': 0, 'J11': -9396.5, 'J12': -7053.5, 'J13': -10110.5, 'cluster3106249630_3106249631_J60_J61_#5more': -16961.5}, {'J10': 0, 'J11': 15, 'J12': 19, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 0, 'J11': 31, 'J12': 49, 'J13': 39, 'cluster3106249630_3106249631_J60_J61_#5more': 69}, 
325.0, {'J10': -2.5, 'J11': -9706.5, 'J12': -7555.0, 'J13': -10500.5, 'cluster3106249630_3106249631_J60_J61_#5more': -17608.0}, {'J10': 1, 'J11': 15, 'J12': 20, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 1, 'J11': 31, 'J12': 54, 'J13': 39, 'cluster3106249630_3106249631_J60_J61_#5more': 68}, 
330.0, {'J10': -7.0, 'J11': -10018.5, 'J12': -8032.5, 'J13': -10890.5, 'cluster3106249630_3106249631_J60_J61_#5more': -18277.5}, {'J10': 2, 'J11': 16, 'J12': 20, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 3, 'J11': 32, 'J12': 57, 'J13': 39, 'cluster3106249630_3106249631_J60_J61_#5more': 67}, 
335.0, {'J10': -11.5, 'J11': -10340.0, 'J12': -8272.5, 'J13': -11280.5, 'cluster3106249630_3106249631_J60_J61_#5more': -18947.5}, {'J10': 1, 'J11': 17, 'J12': 20, 'J13': 28, 'cluster3106249630_3106249631_J60_J61_#5more': 42}, {'J10': 1, 'J11': 33, 'J12': 55, 'J13': 39, 'cluster3106249630_3106249631_J60_J61_#5more': 67}, 
