episode,agent,decision,car_wait,bike_wait,ped_wait,car_queue,bike_queue,ped_queue,reward_mean,reward_min,reward_max,epsilon,mean_q
1,MPLight_MM,177,2288.0,13493.0,53.5,75.0,46.0,16.0,-182.738,-182.738,-182.738,,
1,MPLight_MM,178,2475.0,13772.0,0.0,68.0,41.0,4.0,-144.675,-144.675,-144.675,,
1,MPLight_MM,179,2665.5,14124.0,3.5,70.0,43.0,5.0,-139.936,-139.936,-139.936,,
1,MPLight_MM,180,2895.0,14543.0,0.5,70.0,43.0,4.0,-136.845,-136.845,-136.845,,
1,MPLight_MM,181,3061.5,14976.5,0.5,72.0,44.0,1.0,-130.839,-130.839,-130.839,,
1,MPLight_MM,182,3273.5,15424.0,4.0,77.0,47.0,2.0,-142.731,-142.731,-142.731,,
1,MPLight_MM,183,3584.0,15894.0,9.0,80.0,47.0,3.0,-151.913,-151.913,-151.913,,
1,MPLight_MM,184,3800.5,16370.0,20.5,79.0,49.0,4.0,-153.447,-153.447,-153.447,,
1,MPLight_MM,185,3871.0,16705.5,25.5,75.0,48.0,7.0,-157.453,-157.453,-157.453,,
1,MPLight_MM,186,4091.0,17190.5,44.0,76.0,49.0,14.0,-181.357,-181.357,-181.357,,
1,MPLight_MM,187,4318.0,17683.5,76.5,79.0,50.0,14.0,-185.624,-185.624,-185.624,,
1,MPLight_MM,188,4456.5,18138.5,94.5,77.0,49.0,11.0,-173.084,-173.084,-173.084,,
1,MPLight_MM,189,4736.5,18422.5,39.0,75.0,47.0,1.0,-137.64,-137.64,-137.64,,
1,MPLight_MM,190,3822.0,16935.0,46.5,66.0,42.0,6.0,-137.76,-137.76,-137.76,,
1,MPLight_MM,191,3892.5,17363.5,65.5,68.0,44.0,9.0,-154.658,-154.658,-154.658,,
1,MPLight_MM,192,4137.5,17811.0,97.5,72.0,46.0,10.0,-164.283,-164.283,-164.283,,
1,MPLight_MM,193,4398.5,18275.5,135.0,75.0,47.0,9.0,-162.368,-162.368,-162.368,,
1,MPLight_MM,194,3655.5,15332.5,178.0,65.0,41.0,13.0,-157.13,-157.13,-157.13,,
1,MPLight_MM,195,2798.0,14738.5,1.5,55.0,37.0,1.0,-104.97,-104.97,-104.97,,
1,MPLight_MM,196,2988.5,15113.5,9.0,61.0,39.0,4.0,-122.777,-122.777,-122.777,,
1,MPLight_MM,197,3214.5,15508.0,7.0,65.0,40.0,2.0,-121.862,-121.862,-121.862,,
